0列,1列,2列,3列,4列,5列,6列,7列,8列,9列,10列,11列,12列,13列,14列,15列,16列,17列,18列,19列,20列,21列,22列,23列,24列,25列,26列,27列,28列,29列,30列,31列,32列,33列,34列,35列,36列,37列,38列,39列,40列,41列,42列,43列,44列,45列,46列,47列,48列,49列,50列,51列,52列,53列
0.395000458,0.279998779,0.454998016,0.316362381,0.217092514,0.140001297,0.230003357,0.226666451,0.217983246,1.290000916,0.5,0.726665497,0.779998779,0.43999958,0.13999939,0.769996643,0.795078278,0.690002441,-0.084999084,0.849998474,0.569999695,0.669998169,0.48000145,0.529998779,0.146665573,0.186443329,0.349998474,-0.329999924,0.600000381,0.040000916,0.470001221,21.80004883,0.227581024,0.369998932,-0.25,0.060000062,1.090000153,0.51999855,0.530000687,0.158100128,0.159999847,0.079998016,0.810001373,0.710002899,0.200000763,0.010002136,0.119998932,0.730003357,0.421859741,0.270000458,0.759998322,0.23000145,0.799999237,0.705001831
-0.330001831,0.129997253,-0.004997253,-0.011434555,-0.178244591,0.029998779,0.099998474,0.123332977,-0.068120003,0.129997253,-0.279998779,0.006664276,-0.209999084,0,0.079999924,1.939998627,0.293636322,0.010002136,0.334999084,0.480003357,-0.11000061,0.409999847,-0.430000305,-0.459999084,0.076667786,-0.041950226,0.75,0.26499939,0.040000916,0.290000916,-0.099998474,-3.400024414,0.043762207,0.424999237,-0.119995117,0.008571386,0.369998932,-0.100000381,-0.600000381,0.105400085,1.220001221,0.520000458,0.319999695,-0.900001526,-0.099998474,0.049999237,-0.190002441,0.199996948,0.699905396,0.090000153,0.754997253,0.359998703,-0.130001068,0.455001831
-0.189998627,-0.119998932,0.290000916,0.114347458,0.015995979,-0.149999619,-0.290000916,-0.116666794,-0.013624191,-0.350002289,-0.350006104,0.033332825,-0.180000305,-0.260000229,-0.069999695,-0.419998169,-0.167144775,-0.400001526,0.190000534,0.129997253,-0.010000229,0.080001831,-0.450000763,0.329998016,0.173334122,-0.111865997,-0.150001526,-0.145000458,-0.260000229,-0.149999619,-0.130001068,6,-0.061271667,-0.225002289,-0.120002747,-0.021428585,0,-0.309999466,0.01999855,0.316204071,-0.340000153,-0.720001221,-0.200000763,-0.629997253,0.229999542,-0.100002289,-0.5,0.280002594,0.22052002,-0.349998474,0.064998627,-0.159999847,0.045000076,-0.260002136
-0.055000305,0.220001221,-0.029998779,0.141029358,-0.045703888,-0.340000153,-0.879997253,-0.116666794,-0.213441849,0.259998322,-0.300003052,-0.333332062,-0.330001831,-0.180000305,-0.050001144,-0.670001984,-0.320743561,-0.600002289,-0.039999008,-0.519996643,-0.350000381,-0.239997864,-0.299999237,0.159999847,-0.186666489,0.027967453,-0.149997711,-0.13999939,-0.370000839,-0.034999847,-0.599998474,-12.59997559,-0.385131836,-0.444999695,-0.700004578,-0.025000095,-0.11000061,-0.520000458,-0.520000458,-0.553359985,-0.219997406,-1.300003052,-0.659999847,-0.549999237,-0.209999084,-0.390003204,-0.009998322,-0.289997101,-0.814956665,-0.220001221,-0.61000061,0.099998474,-0.170000076,-0.359996796
0.5,0.409999847,0.709999084,0.327795029,0.502742767,0.130001068,0.239997864,0.193333626,-0.108992577,-0.200000763,0.86000061,0.106666565,0.170001984,0.069999695,0.170000076,0.380001068,0.067764282,0.450000763,-0.100000381,0.990005493,0.200000763,0.309997559,-0.450000763,-0.25,-0.020000458,0.102544785,0.120002747,-0.159999847,0.070001602,-0.069999695,0.400001526,1.599975586,0.175060272,0.36000061,0.019996643,0.038571477,-0.11000061,-0.090000153,0.119998932,0.342556,-0.240001678,0.540000916,0.430000305,0.200000763,0.069999695,0.069999695,-0.289997101,-0.390003204,-1.380634308,0.159999847,0.490001678,0.010000229,0.465000153,0.775001526
-0.345001221,-0.569999695,-0.369998932,-0.583171844,-0.271938324,-0.229999542,-0.75,-0.186666489,-0.172570229,-1.409999847,-0.819999695,-0.180000305,-0.680000305,-0.31000042,-0.149999619,-1.57000351,-0.334293365,-0.38999939,0.01499939,-1.129997253,-0.770000458,-0.229999542,-0.489999771,-0.63999939,-0.01999855,-0.288986206,-0.595001221,-0.219999313,-0.690000534,-0.625,-1.599998474,-40,-0.875297546,-0.744998932,-2.699996948,-0.074999928,-0.229999542,-0.779998779,-0.5,-1.422927856,-0.969997406,-0.930000305,-0.229999542,-0.599998474,-0.050003052,-0.490001678,-0.279998779,-0.36000061,0.076702118,-1.049999237,-0.625,-0.279998779,-0.625,-0.920001984
0.709999084,0.719997406,0.325000763,0.232505798,-0.226234436,0.120000839,1.599998474,0.286665916,-0.013624191,0.709999084,0.300003052,-0.28666687,-0.330001831,-0.050000191,0.020000458,-0.13999939,0.207805634,-0.159999847,0.194999695,1.020004272,-0.309999466,0.61000061,0.039999008,0.200000763,0.166667938,0.13983345,0.379997253,0.674999237,-0.170000076,-0.01499939,-0.38999939,-12,-1.050361633,0.419998169,-0.589996338,-0.007142782,0.670001984,-0.090000153,-0.270000458,0.158103943,0.069999695,0.939998627,-0.050003052,0.319999695,0.470001221,0.409999847,0.429998398,0.210002899,0.632789612,0.039997101,0.145000458,0.299999237,-0.079999924,-0.319999695
0.25,0.380001068,0.229999542,0.194389343,-0.041133881,-0.310001373,-0.350006104,-0.206666946,-0.0726614,0.010002136,0.150001526,-0.099998474,0.200000763,-0.130000114,-0.069999695,0.329998016,-0.284599304,-0.319999695,-0.119998932,0.189994812,-0.059999466,-0.099998474,0.200000763,0.400001526,0.206665039,-0.079238892,0.069999695,0.225000381,0.059999466,-0.180000305,-0.569999695,-11.40002441,-0.043766022,-0.080001831,0.080001831,0.034285784,-0.090000153,-0.36000061,-1.149999619,-1.133071899,-0.200000763,0.36000061,-0.009998322,0.029998779,1.209999084,1.430000305,0.210002899,0.799999237,0.028762817,0.380001068,-0.415000916,-0.100000381,0.069999695,-0.224998474
0.654998779,0.119998932,-0.284999847,-0.080043793,-0.100548744,-0.170000076,-0.020004272,-0.130000114,0.049954414,-1.549999237,1.019996643,0.239997864,0.449996948,0.140000343,0.549999237,0.229999542,0.022586823,-0.529998779,0.239999771,0.430000305,0.259998322,-0.309997559,0.069999695,0.349998474,0.053333282,0.12118721,-0.340000153,-0.024999619,0.350000381,0.534999847,0.239997864,1,0.551441193,0.165000916,1.11000061,0.002142906,0.060001373,-0.210000992,-0.329999924,-0.316207886,-0.299999237,0.239997864,-0.36000061,0.049999237,0.260002136,0.229999542,0.38999939,0.169998169,-0.124637604,-0.159999847,-0.169998169,-0.280000687,0.210000992,0.135002136
0.405002594,-0.119998932,0.069999695,0.09910202,-0.011425972,0.450000763,0.040000916,0.183333397,-0.049954414,1.760002136,0.069999695,0.126667023,0.399997711,0,-0.059999466,-0.189998627,-0.22587204,-0.13999939,0.350000381,-0.189994812,0.299999237,0.369998932,0.109998703,0.090000153,0.11000061,0.079238892,-0.255001068,0.155000687,-0.079999924,0.065000534,0.11000061,-2.400024414,-0.183811188,0.190002441,-0.769996643,0.016428709,0.199996948,0.310001373,0.75,0.4479599,0.330001831,0.369998932,-0.049999237,-0.049999237,0.11000061,-0.119998932,0.240001678,0.200000763,-0.105464935,0.309997559,-0.569999695,-0.229999542,0.260000229,-0.474998474
